A02AD01 Magnesio idrossido/algeld 020702054 MAALOX 40 cpr mast 800 mg SANOFI-AVENTIS RR 2,17 2,16
C07CB03 Atenololo/clortalidone 033159029 ATENOLOLO CLORTA 28 cpr 50 mg + 12,5 mg EG RR 3,71 3,69 G
C07CB03 Atenololo/clortalidone 034069029 ATENOLOLO CLORTA 28 cpr 50 mg + 12,5 mg MERCK GENERICS RR 3,71 3,69 G
C07CB03 Atenololo/clortalidone 033054014 ATENOLOLO CLORTA 28 cpr 50 mg + 12,5 mg RATIOPHARM GMBH RR 3,71 3,69 G
C07CB03 Atenololo/clortalidone 033455027 ATENOLOLO CLORTA 28 cpr 50 mg + 12,5 mg SANDOZ RR 3,71 3,69 G
C07CB03 Atenololo/clortalidone 032805020 ATENOLOLO CLORTA 30 cpr riv 50 mg+ 12,5 mg HEXAL RR 4,43 4,40 G
C07CB03 Atenololo/clortalidone 034167015 ATENOLOLO CLORTA 28 cpr 100 mg + 25 mg DOC GENERICI RR 7,22 7,18 G
C07CB03 Atenololo/clortalidone 033037021 ATENOLOLO CLORTA 28 cpr riv 100 mg + 25 mg DOROM RR 7,22 7,18 G
C07CB03 Atenololo/clortalidone 033159017 ATENOLOLO CLORTA 28 cpr 100 mg + 25 mg EG RR 7,22 7,18 G
C07CB03 Atenololo/clortalidone 034069017 ATENOLOLO CLORTA 28 cpr 100 + 25 mg MERCK GENERICS RR 7,22 7,18 G
C07CB03 Atenololo/clortalidone 033054026 ATENOLOLO CLORTA 28 cpr 100 + 25 mg RATIOPHARM GMBH RR 7,22 7,18 G
C07CB03 Atenololo/clortalidone 033455041 ATENOLOLO CLORTA 28 cpr 100 + 25 mg SANDOZ RR 7,22 7,18 G
C07CB03 Atenololo/clortalidone 032805018 ATENOLOLO CLORTA 30 cpr riv 100 mg + 25 mg HEXAL RR 7,69 7,64 G
C07CB03 Atenololo/clortalidone 026044026 ATENOLOLO CLORTA 30 cpr riv 100 mg + 25 mg TAD PHARMA RR 7,69 7,64 G
C07CB03 Atenololo/clortalidone 024754018 CARMIAN 30 cpr 100 mg + 25 mg TEOFARMA RR 7,88 7,83 G
C07CB03 Atenololo/clortalidone 026027021 CLORTANOL 30 cpr 100 mg + 25 mg C.T. LABORATORIO FARMACEUTICO RR 7,69 7,64 G
C07CB03 Atenololo/clortalidone 024725069 DIUBE 28 cpr riv 50 mg + 12,5 mg SIT RR 3,71 3,69 G
C07CB03 Atenololo/clortalidone 024725032 DIUBE 28 cpr riv 100 mg + 25 mg SIT RR 7,22 7,18 G
C07CB03 Atenololo/clortalidone 024728065 EUPRES "MITE" 21 cpr 50 mg + 25 mg VALEANT PHARMACEUTICALS RR 4,90 4,87
C07CB03 Atenololo/clortalidone 024728038 EUPRES 21 cpr 100 mg + 25 mg VALEANT PHARMACEUTICALS RR 7,68 7,58 X
C07CB03 Atenololo/clortalidone 024763068 IGROSELES 28 cpr 50 mg + 12,5 mg SCHWARZ RR 3,71 3,69 G
C07CB03 Atenololo/clortalidone 024763056 IGROSELES 28 cpr 100 mg + 25 mg SCHWARZ RR 7,22 7,18 G
C07CB03 Atenololo/clortalidone 025089032 TARGET 28 cpr 100 + 25 mg LISAPHARMA RR 7,22 7,18 G
C07CB03 Atenololo/clortalidone 024737037 TENORETIC 28 cpr 50 mg + 12,5 mg ASTRAZENECA RR 5,37 5,34 G
C07CB03 Atenololo/clortalidone 024737025 TENORETIC 28 cpr 100 mg + 25 mg ASTRAZENECA RR 10,23 10,17 G
C07CB03 Atenololo/indapamide 028151025 ATINORM 30 cpr div 100 mg + 2,5 mg BIOPROGRESS PHARMA RR 10,26 10,14 X
C07CB03 Atenololo/indapamide 025871031 NORMOPRESS 30 cpr div 100 mg + 2,5 mg CABER RR 9,02 8,92 X
C07CB03 Atenololo/indapamide 028023012 NOR-PA 30 cpr div 100 mg + 2,5 mg PLIVA RR 9,02 8,92 X
C08CA01 Amlodipina besilato 027461021 ANTACAL 14 cpr 10 mg ERREKAPPA RR 13,11 12,95 X
C08CA01 Amlodipina besilato 027461019 ANTACAL 28 cpr 5 mg ERREKAPPA RR 15,15 14,97 X
C08CA01 Amlodipina besilato 027444025 MONOPINA 14 cpr 10 mg PFIZER ITALIA RR 13,11 12,95 X
C08CA01 Amlodipina besilato 027428010 NORVASC 28 cpr 5 mg PFIZER ITALIA RR 15,15 14,97 X
C08CA01 Amlodipina besilato 027428022 NORVASC 14 cpr 10 mg PFIZER ITALIA RR 13,11 12,95 X
C08CA02 Felodipina 027376021 FELODAY 14 cpr 10 mg rilascio prolungato ASTRAZENECA RR 11,66 11,52 X
C08CA02 Felodipina 027376019 FELODAY 28 cpr 5 mg rilascio prolungato ASTRAZENECA RR 12,53 12,37 X
C08CA02 Felodipina 028162030 PLENDIL 14 cpr riv 10 mg rilascio prolungato ASTRAZENECA RR 11,66 11,52 X
C08CA02 Felodipina 028162042 PLENDIL 28 cpr riv 5 mg rilascio prolungato ASTRAZENECA RR 12,53 12,37 X
C08CA02 Felodipina 027372022 PREVEX 14 cpr riv 10 mg rilascio prolungato SIMESA RR 11,66 11,52 X
C08CA02 Felodipina 027372010 PREVEX 28 cpr riv 5 mg rilascio prolungato SIMESA RR 12,53 12,37 X
C08CA03 Isradipina 027727027 CLIVOTEN 14 cps 5 mg rilascio graduale ITALFARMACO RR 6,84 6,76 X
C08CA03 Isradipina 027725023 ESRADIN 14 cps 5 mg rilascio prolungato SIGMATAU RR 7,20 7,12 X X
C08CA03 Isradipina 027715046 LOMIR SRO 14 cps 5 mg rilascio graduale DAIICHI SANKYO RR 7,20 7,12 X X
C08CA04 Nicardipina 026071023 BIONICARD 50 cpr 20 mg ROTTAPHARM RR 7,59 7,49 X
C08CA04 Nicardipina 026071035 BIONICARD "RETARD" 30 cps 40 mg ROTTAPHARM RR 4,96 4,93 G
C08CA04 Nicardipina 027790017 CARDIOTEN 50 conf 20 mg OFF RR 7,59 7,49 X
C08CA04 Nicardipina 027790029 CARDIOTEN "40 RETARD" 30 cps 40 mg cessione regolataOFF RR 5,33 5,30 G
C08CA04 Nicardipina 026075022 CARDIP 50 conf 20 mg FRANCIA RR 7,59 7,49 X
C08CA04 Nicardipina 026075046 CARDIP 30 cps 40 mg rilascio graduato FRANCIA RR 4,96 4,93 G
C08CA04 Nicardipina 029277011 LISANIRC 20 cpr 80 mg rilascio modificato LISAPHARMA RR 6,74 6,66 X
C08CA04 Nicardipina 026874038 NEUCOR 30 cps 40 mg C.T. LABORATORIO FARMACEUTICO RR 4,96 4,93 G
C08CA04 Nicardipina 026292033 NICANT "RETARD" 30 cps 40 mg VECCHI & PIAM RR 5,24 5,21 G
C08CA04 Nicardipina 026636098 NICAPRESS 30 cps 40 mg rilascio prolungato PLIVA RR 4,96 4,93 G
C08CA04 Nicardipina 025991023 NICARDAL 50 conf 20 mg ITALFARMACO RR 7,59 7,49 X
C08CA04 Nicardipina 025991035 NICARDAL "R" 30 cps 40 mg rilascio graduale ITALFARMACO RR 7,02 6,98 G
C08CA04 Nicardipina 033608023 NICARDIPINA 30 cps 40 mg rilascio prolungato DOROM RR 4,96 4,93 G
C08CA04 Nicardipina 033129014 NICARDIPINA 30 cps 40 mg rilascio prolungato MERCK GENERICS RR 4,96 4,93 G
C08CA04 Nicardipina 026020038 NICARPIN "RETARD" 30 cps 40 mg S.F. GROUP RR 4,96 4,93 G
C08CA04 Nicardipina 033585023 NICAVEN 30 cps 40 mg rilascio prolungato FARMA 1 RR 4,96 4,93 G
C08CA04 Nicardipina 026014047 NIMICOR "RETARD" 30 cps 40 mg PRODOTTI FORMENTI RR 6,33 6,29 G
C08CA04 Nicardipina 026014023 NIMICOR 50 cpr 20 mg PRODOTTI FORMENTI RR 7,59 7,49 X
C08CA04 Nicardipina 026018034 PERDIPINA 30 cps 40 mg rilascio modificato ASTELLAS RR 4,96 4,93 G
C08CA04 Nicardipina 026018046 PERDIPINA 20 cpr 80 mg rilascio modificato ASTELLAS RR 6,74 6,66 X
C08CA04 Nicardipina 026018022 PERDIPINA 50 cpr riv 20 mg ASTELLAS RR 7,59 7,49 X
C08CA04 Nicardipina 026060032 VASODIN 30 cps rigide 40 mg rilascio prolungato TEOFARMA RR 5,24 5,21 G
C08CA04 Nicardipina 026060020 VASODIN 50 cpr 20 mg TEOFARMA RR 7,59 7,49 X
C08CA05 Nifedipina 023316033 ADALAT AR '50 cpr 20 mg BAYER RR 11,96 11,89 G
C08CA05 Nifedipina 027980034 ADALAT CRONO 14 cpr riv 20 mg rilascio modificato BAYER RR 4,84 4,81
C08CA05 Nifedipina 027980010 ADALAT CRONO 14 cpr riv 30 mg rilascio modificato BAYER RR 7,13 7,05 X X
C08CA05 Nifedipina 027980022 ADALAT CRONO 14 cpr riv 60 mg rilascio modificato BAYER RR 9,60 9,48 X X
C08CA05 Nifedipina 024085045 CITILAT "RETARD" 50 cpr 20 mg C.T. LABORATORIO FARMACEUTICO RR 6,20 6,16 G
C08CA05 Nifedipina 024599058 CORAL 14 cpr riv 60 mg rilascio modificato SO.SE.PHARM RR 9,03 8,98 G
C08CA05 Nifedipina 024599045 CORAL 14 cpr riv 30 mg rilascio modificato SO.SE.PHARM RR 6,07 6,03 G
C08CA05 Nifedipina 032165019 EUXAT 14 cpr riv 30 mg rilascio modificato PH&T RR 6,07 6,03 G
C08CA05 Nifedipina 032165021 EUXAT 14 cpr riv 60 mg rilascio modificato PH&T RR 9,03 8,98 G
C08CA05 Nifedipina 026586014 FENIDINA 14 cpr riv 30 mg rilascio modificato BONISCONTRO & GAZZONE RR 6,07 6,03 G
C08CA05 Nifedipina 026586026 FENIDINA 14 cpr riv 60 mg rilascio modificato BONISCONTRO & GAZZONE RR 9,03 8,98 G
C08CA05 Nifedipina 024608022 NIFEDICOR 50 cps 10 mg VALEANT PHARMACEUTICALS RR 4,20 4,17 G
C08CA05 Nifedipina 024608034 NIFEDICOR 50 cps 20 mg VALEANT PHARMACEUTICALS RR 6,20 6,16 G
C08CA05 Nifedipina 024608046 NIFEDICOR gtt os 30 ml 2% VALEANT PHARMACEUTICALS RR 6,80 6,72 X
C08CA05 Nifedipina 024608059 NIFEDICOR 50 cpr riv con film 20 mg VALEANT PHARMACEUTICALS RR 6,20 6,16 G
C08CA05 Nifedipina 031227010 NIFEDIPINA 50 cps 10 mg HEXAL RR 4,20 4,17 G
C08CA05 Nifedipina 035067014 NIFEDIPINA 14 cpr riv 30 mg rilascio prolungato D&G RR 6,07 6,03 G
C08CA05 Nifedipina 032804039 NIFEDIPINA 14 cpr 30 mg rilascio modificato EG RR 6,07 6,03 G
C08CA05 Nifedipina 033718026 NIFEDIPINA 14 cpr riv 30 mg rilascio prolungato MERCK GENERICS RR 6,07 6,03 G
C08CA05 Nifedipina 034105015 NIFEDIPINA 50 cps 20 mg rilascio prolungato DOC GENERICI RR 6,20 6,16 G
C08CA05 Nifedipina 032831012 NIFEDIPINA 50 cps 20 mg rilascio prolungato DOROM RR 6,20 6,16 G
C08CA05 Nifedipina 032804027 NIFEDIPINA 50 cps 20 mg rilascio prolungato EG RR 6,20 6,16 G
C08CA05 Nifedipina 031227022 NIFEDIPINA 50 cpr 20 mg cessione ritardata HEXAL RR 6,20 6,16 G
C08CA05 Nifedipina 033026030 NIFEDIPINA 50 cpr 20 mg rilascio prolungato MERCK GENERICS RR 6,20 6,16 G
C08CA05 Nifedipina 032989016 NIFEDIPINA 50 cps 20 mg rilascio prolungato RATIOPHARM GMBH RR 6,20 6,16 G
C08CA05 Nifedipina 033278019 NIFEDIPINA 50 cpr 20 mg rilascio prolungato SANDOZ RR 6,20 6,16 G
C08CA05 Nifedipina 035067026 NIFEDIPINA 14 cpr riv 60 mg rilascio prolungato D&G RR 9,03 8,98 G
C08CA05 Nifedipina 032804041 NIFEDIPINA 14 cpr riv 60 mg rilascio modificato EG RR 9,03 8,98 G
C08CA05 Nifedipina 033718038 NIFEDIPINA 14 cpr riv 60 mg rilascio modificato MERCK GENERICS RR 9,03 8,98 G
C08CA05 Nifedipina 029062015 NIFESAL 14 cps 40 mg rilascio prolungato PLIVA RR 9,09 8,99 X
C08CA05 Nifedipina 031806019 NIPIN 14 cpr 30 mg rilascio modificato LISAPHARMA RR 6,07 6,03 G
C08CA05 Nifedipina 031806021 NIPIN 14 cpr 60 mg rilascio modificato LISAPHARMA RR 9,03 8,98 G
C08CA07 Nisoldipina 026667028 SYSCOR 24 cpr riv 10 mg BAYER RR 10,21 10,09 X
C08CA08 Nitrendipina 026232013 BAYPRESS 28 cpr 20 mg BAYER RR 13,90 13,74 X
C08CA08 Nitrendipina 026612010 DEITEN 28 cpr 20 mg ABC RR 13,56 13,40 X
C08CA09 Lacidipina 027832068 APONIL 14 cpr riv 6 mg GLAXO ALLEN RR 12,36 12,22 X
C08CA09 Lacidipina 027832043 APONIL 28 cpr riv div 4 mg GLAXO ALLEN RR 16,58 16,38 X
C08CA09 Lacidipina 027830052 LACIPIL 14 cpr riv 6 mg GLAXOSMITHKLINE RR 12,36 12,22 X
C08CA09 Lacidipina 027830037 LACIPIL 28 cpr riv div 4 mg GLAXOSMITHKLINE RR 16,58 16,38 X
C08CA09 Lacidipina 027831041 LACIREX 14 cpr riv 6 mg GUIDOTTI RR 12,36 12,22 X
C08CA09 Lacidipina 027831039 LACIREX 28 cpr riv 4 mg GUIDOTTI RR 16,58 16,38 X
C08CA09 Lacidipina 028804045 LADIP 14 cpr riv 6 mg VALDA RR 12,36 12,22 X
C08CA09 Lacidipina 028804033 LADIP 28 cpr riv 4 mg VALDA RR 16,58 16,38 X
C08CA09 Lacidipina 027887049 VIAPRES 14 cpr riv 6 mg CRINOS RR 12,36 12,22 X
C08CA09 Lacidipina 027887076 VIAPRES 28 cpr riv div 4 mg CRINOS RR 16,58 16,38 X
C08CA11 Manidipina 029224045 IPERTEN 28 cpr 20 mg CHIESI RR 24,99 24,69 X X
C08CA11 Manidipina 029200045 VASCOMAN 28 cpr 20 mg TAKEDA RR 24,99 24,69 X X
C08CA12 Barnidipina 035146012 LIBRADIN 28 cps 20 mg rilascio modificato SIGMATAU RR 17,89 17,67 X X
C08CA12 Barnidipina 035146024 LIBRADIN 28 cps 10 mg rilascio modificato SIGMATAU RR 17,89 17,67 X X
C08CA12 Barnidipina 035145010 OSIPINE 28 cps 10 mg rilascio modificato FOURNIER PHARMA RR 17,89 17,67 X X
C08CA12 Barnidipina 035145022 OSIPINE 28 cps 20 mg rilascio modificato FOURNIER PHARMA RR 17,89 17,67 X X
C08CA12 Barnidipina 035144017 VASEXTEN 28 cps 20 mg rilascio prolungato ITALFARMACO RR 17,89 17,67 X X
C08CA12 Barnidipina 035144029 VASEXTEN 28 cps 10 mg rilascio prolungato ITALFARMACO RR 17,89 17,67 X X
C08CA13 Lercanidipina 033226022 CARDIOVASC 28 cpr riv 10 mg ROTTAPHARM RR 15,19 15,01 X X
C08CA13 Lercanidipina 033226085 CARDIOVASC 28 cpr riv 20 mg ROTTAPHARM RR 21,13 20,87 X X
C08CA13 Lercanidipina 033225020 LERCADIP 28 cpr riv 10 mg INNOVA PHARMA RR 15,19 15,01 X X
C08CA13 Lercanidipina 033225083 LERCADIP 28 cpr riv 20 mg INNOVA PHARMA RR 21,13 20,87 X X
C08CA13 Lercanidipina 033224027 ZANEDIP 28 cpr riv 10 mg RECORDATI RR 15,19 15,01 X X
C08CA13 Lercanidipina 033224080 ZANEDIP 28 cpr riv 20 mg RECORDATI RR 21,13 20,87 X X
C08DA01 Verapamil 033510013 CARDINORM 30 cps 120 mg rilascio prolungato NEW RESEARCH RR 4,50 4,47 G
C08DA01 Verapamil 033510025 CARDINORM 30 cps 240 mg rilascio prolungato NEW RESEARCH RR 9,14 9,09 G
C08DA01 Verapamil 020609018 ISOPTIN 30 cpr riv 40 mg ABBOTT RR 1,49 1,48 G
C08DA01 Verapamil 020609083 ISOPTIN 30 cpr riv 80 mg ABBOTT RR 3,32 3,30 G
C08DA01 Verapamil 020609044 ISOPTIN 30 cpr 120 mg rilascio prolungato ABBOTT RR 5,37 5,34 G
C08DA01 Verapamil 020609095 ISOPTIN 30 cpr 180 mg rilascio prolungato ABBOTT RR 8,30 8,20 X
C08DA01 Verapamil 020609071 ISOPTIN "FIALE" 5 fiale EV 5 mg 2 ml ABBOTT RR 3,20 3,18
C08DA01 Verapamil 020609069 ISOPTIN 30 cpr 240 mg rilascio prolungato ABBOTT RR 11,23 11,16 G
C08DA01 Verapamil 035769013 VERAPAMIL 30 cpr riv 80 mg ANGENERICO RR 2,24 2,23 G
C08DA01 Verapamil 031228012 VERAPAMIL 30 cpr riv 80 mg HEXAL RR 2,24 2,23 G
C08DA01 Verapamil 033174018 VERAPAMIL 30 cpr riv 80 mg MERCK GENERICS RR 2,24 2,23 G
C08DA01 Verapamil 034124014 VERAPAMIL 30 cpr riv 80 mg RATIOPHARM GMBH RR 2,24 2,23 G
C08DA01 Verapamil 035769025 VERAPAMIL 30 cpr riv 120 mg rilascio prolungato ANGENERICO RR 4,50 4,47 G
C08DA01 Verapamil 034255036 VERAPAMIL 30 cps 120 mg rilascio prolungato DOC GENERICI RR 4,50 4,47 G
C08DA01 Verapamil 032100024 VERAPAMIL 30 cpr 120 mg rilascio modificato EG RR 4,50 4,47 G
C08DA01 Verapamil 031228024 VERAPAMIL 30 cpr riv 120 mg rilascio prolungato HEXAL RR 4,50 4,47 G
C08DA01 Verapamil 033174020 VERAPAMIL 30 cpr 120 mg rilascio prolungato MERCK GENERICS RR 4,50 4,47 G
C08DA01 Verapamil 033430012 VERAPAMIL 30 cps 120 mg rilascio prolungato PLIVA RR 4,50 4,47 G
C08DA01 Verapamil 033193018 VERAPAMIL 30 cps 120 mg rilascio prolungato TEVA RR 4,50 4,47 G
C08DA01 Verapamil 034255048 VERAPAMIL 30 cps 240 mg rilascio prolungato DOC GENERICI RR 9,14 9,09 G
C08DA01 Verapamil 032100036 VERAPAMIL 30 cpr 240 mg rilascio modificato EG RR 9,14 9,09 G
C08DA01 Verapamil 033174032 VERAPAMIL 30 cpr 240 mg rilascio prolungato MERCK GENERICS RR 9,14 9,09 G
C08DA01 Verapamil 033430024 VERAPAMIL 30 cps 240 mg rilascio prolungato PLIVA RR 9,14 9,09 G
C08DA01 Verapamil 033193020 VERAPAMIL 30 cps 240 mg rilascio prolungato TEVA RR 9,14 9,09 G
C08DA01 Verapamil 033112018 VERAPTIN 30 cpr riv 80 mg BONISCONTRO & GAZZONE RR 2,24 2,23 G
C08DA01 Verapamil 033112020 VERAPTIN 30 cpr 120 mg rilascio prolungato BONISCONTRO & GAZZONE RR 4,50 4,47 G
C08DA01 Verapamil 033112032 VERAPTIN 30 cpr 240 mg rilascio prolungato BONISCONTRO & GAZZONE RR 9,14 9,09 G
C08DA02 Gallopamil 025817026 ALGOCOR 50 cpr div 50 mg TEOFARMA RR 7,30 7,22 X
C08DA02 Gallopamil 025817040 ALGOCOR 30 cpr 100 mg rilascio prolungato TEOFARMA RR 11,62 11,48 X
C08DA02 Gallopamil 025811011 PROCORUM 50 cpr div 50 mg ABBOTT RR 7,30 7,22 X
C08DA02 Gallopamil 025811047 PROCORUM 30 cpr 100 mg rilascio prolungato ABBOTT RR 11,62 11,48 X
C08DB01 Diltiazem 025271014 ALTIAZEM 50 cpr 60 mg LUSOFARMACO RR 5,87 5,83 G
C08DB01 Diltiazem 025271040 ALTIAZEM 14 cps 300 mg rilascio prolungato LUSOFARMACO RR 8,35 8,30 G
C08DB01 Diltiazem 025271026 ALTIAZEM 5 fiale IM EV 50 mg + 5 fiale solv LUSOFARMACO RR 11,35 11,21 X
C08DB01 Diltiazem 025271038 ALTIAZEM 24 cpr 120 mg rilascio modificato LUSOFARMACO RR 6,55 6,51 G
C08DB01 Diltiazem 025280025 ANGIZEM 50 cpr div 60 mg rilascio modificato SANOFI-AVENTIS RR 5,87 5,83 G
C08DB01 Diltiazem 025280049 ANGIZEM 24 cpr 120 mg rilascio prolungato SANOFI-AVENTIS RR 6,55 6,51 G
C08DB01 Diltiazem 025280052 ANGIZEM 14 cps 300 mg rilascio prolungato SANOFI-AVENTIS RR 8,35 8,30 G
C08DB01 Diltiazem 025280064 ANGIZEM 36 cps 200 mg rilascio prolungato SANOFI-AVENTIS RR 24,23 23,93 X
C08DB01 Diltiazem 029302027 DIACARDIN 24 cps 120 mg cessione ritardata PLIVA RR 6,55 6,51 G
C08DB01 Diltiazem 029302041 DIACARDIN 14 cps 300 mg cessione ritardata PLIVA RR 8,35 8,30 G
C08DB01 Diltiazem 029302039 DIACARDIN 24 cps 180 mg cessione ritardata PLIVA RR 11,82 11,75 G
C08DB01 Diltiazem 025275013 DILADEL 50 cpr 60 mg rilascio modificato SANOFI-AVENTIS RR 5,87 5,83 G
C08DB01 Diltiazem 025275025 DILADEL 24 cpr 120 mg rilascio prolungato SANOFI-AVENTIS RR 6,55 6,51 G
C08DB01 Diltiazem 025275037 DILADEL 14 cps 300 mg rilascio prolungato SANOFI-AVENTIS RR 8,35 8,30 G
C08DB01 Diltiazem 025275049 DILADEL 36 cps 200 mg rilascio prolungato SANOFI-AVENTIS RR 24,23 23,93 X
C08DB01 Diltiazem 025908017 DILEM 50 cpr 60 mg ICI RENDE RR 5,87 5,83 G
C08DB01 Diltiazem 025908031 DILEM 24 cpr 120 mg rilascio prolungato ICI RENDE RR 6,55 6,51 G
C08DB01 Diltiazem 025908029 DILEM 14 cps 300 mg cessione ritardata ICI RENDE RR 8,35 8,30 G
C08DB01 Diltiazem 029355029 DILITER 28 cps 300 mg rilascio controllato BONISCONTRO & GAZZONE RR 17,12 17,02 G
C08DB01 Diltiazem 033581012 DILTIAZEM 50 cpr 60 mg DOC GENERICI RR 5,87 5,83 G
C08DB01 Diltiazem 025281039 DILTIAZEM 50 cpr 60 mg DOROM RR 5,87 5,83 G
C08DB01 Diltiazem 032808040 DILTIAZEM 50 cpr 60 mg EG RR 5,87 5,83 G
C08DB01 Diltiazem 026675013 DILTIAZEM 50 cpr 60 mg ERREKAPPA RR 5,87 5,83 G
C08DB01 Diltiazem 033652013 DILTIAZEM 50 cpr riv 60 mg HEXAL RR 5,87 5,83 G
C08DB01 Diltiazem 033175011 DILTIAZEM 50 cpr 60 mg RATIOPHARM GMBH RR 5,87 5,83 G
C08DB01 Diltiazem 033682042 DILTIAZEM 50 cpr 60 mg SANDOZ RR 5,87 5,83 G
C08DB01 Diltiazem 033581024 DILTIAZEM 24 cpr 120 mg rilascio prolungato DOC GENERICI RR 6,55 6,51 G
C08DB01 Diltiazem 033652025 DILTIAZEM 24 cpr 120 mg rilascio prolungato HEXAL RR 6,55 6,51 G
C08DB01 Diltiazem 033682028 DILTIAZEM 24 cps 120 mg rilascio prolungato SANDOZ RR 6,55 6,51 G
C08DB01 Diltiazem 033192028 DILTIAZEM 24 cps 120 mg rilascio prolungato TEVA RR 6,55 6,51 G
C08DB01 Diltiazem 032808014 DILTIAZEM 28 cps 120 mg rilascio modificato EG RR 6,90 6,86 G
C08DB01 Diltiazem 028258059 DILTIAZEM 28 cps 120 mg rilascio prolungato ERREKAPPA RR 6,90 6,86 G
C08DB01 Diltiazem 033175023 DILTIAZEM 28 cps 120 mg rilascio modificato RATIOPHARM GMBH RR 6,90 6,86 G
C08DB01 Diltiazem 033581048 DILTIAZEM 14 cpr 300 mg rilascio prolungato DOC GENERICI RR 8,35 8,30 G
C08DB01 Diltiazem 032808053 DILTIAZEM 14 cps 300 mg rilascio prolungato EG RR 8,35 8,30 G
C08DB01 Diltiazem 033287018 DILTIAZEM 14 cpr 300 mg rilascio prolungato MERCK GENERICS RR 8,35 8,30 G
C08DB01 Diltiazem 033682030 DILTIAZEM 14 cps 300 mg rilascio prolungato SANDOZ RR 8,35 8,30 G
C08DB01 Diltiazem 033192042 DILTIAZEM 14 cps 300 mg rilascio prolungato TEVA RR 8,35 8,30 G
C08DB01 Diltiazem 032808026 DILTIAZEM 28 cps 180 mg rilascio modificato EG RR 13,78 13,70 G
C08DB01 Diltiazem 028258097 DILTIAZEM 28 cps 180 mg rilascio prolungato ERREKAPPA RR 13,78 13,70 G
C08DB01 Diltiazem 028258135 DILTIAZEM 28 cps 300 mg rilascio controllato ERREKAPPA RR 17,12 17,02 G
C08DB01 Diltiazem 033287020 DILTIAZEM 28 cpr 300 mg rilascio prolungato MERCK GENERICS RR 17,12 17,02 G
C08DB01 Diltiazem 025277017 DILZENE 50 cpr 60 mg rilascio modificato SIGMATAU RR 5,87 5,83 G
C08DB01 Diltiazem 025277068 DILZENE 24 cpr 120 mg rilascio prolungato SIGMATAU RR 6,55 6,51 G
C08DB01 Diltiazem 025277070 DILZENE 14 cps 300 mg rilascio prolungato SIGMATAU RR 8,35 8,30 G
C08DB01 Diltiazem 025277031 DILZENE 5 fiale EV 50 mg + 5 fiale solv 3 ml SIGMATAU RR 11,35 11,21 X
C08DB01 Diltiazem 028156065 ETYZEM 28 cps 120 mg rilascio modificato CABER RR 6,90 6,86 G
C08DB01 Diltiazem 028217014 LONGAZEM 14 cps 300 mg rilascio modificato DE SALUTE RR 8,35 8,30 G
C08DB01 Diltiazem 025278019 TILDIEM 50 cpr 60 mg rilascio modificato SANOFI-AVENTIS RR 5,87 5,83 G
C08DB01 Diltiazem 025278058 TILDIEM 24 cpr 120 mg rilascio prolungato SANOFI-AVENTIS RR 6,55 6,51 G
C08DB01 Diltiazem 025278072 TILDIEM 36 cps 200 mg rilascio prolungato SANOFI-AVENTIS RR 24,23 23,93 X
C08DB01 Diltiazem 025278060 TILDIEM 14 cps 300 mg rilascio prolungato SANOFI-AVENTIS RR 8,35 8,30 G
C09AA01 Captopril 025812064 ACEPRESS 24 cpr 50 mg BRISTOL RR 8,77 8,72 G
C09AA01 Captopril 025812052 ACEPRESS 50 cpr 25 mg BRISTOL RR 10,07 10,01 G
C09AA01 Captopril 035324021 ACEPRILEX 24 cpr 50 mg TAD PHARMA RR 6,61 6,57 G
C09AA01 Captopril 035324019 ACEPRILEX 50 cpr 25 mg TAD PHARMA RR 7,32 7,28 G
C09AA01 Captopril 024446027 CAPOTEN 24 cpr 50 mg BRISTOL RR 8,77 8,72 G
C09AA01 Captopril 024446015 CAPOTEN 50 cpr 25 mg BRISTOL RR 10,07 10,01 G
C09AA01 Captopril 034366043 CAPTOPRIL 24 cpr 50 mg DOC GENERICI RR 6,59 6,55 G
C09AA01 Captopril 034862033 CAPTOPRIL 24 cpr 50 mg DOROM RR 6,59 6,55 G
C09AA01 Captopril 035036161 CAPTOPRIL 24 cpr 50 mg EG RR 6,59 6,55 G
C09AA01 Captopril 036315075 CAPTOPRIL 24 cpr 50 mg HEXAL RR 6,59 6,55 G
C09AA01 Captopril 035317561 CAPTOPRIL 24 cpr 50 mg MERCK GENERICS RR 6,59 6,55 G
C09AA01 Captopril 035264124 CAPTOPRIL 24 cpr 50 mg RATIOPHARM GMBH RR 6,59 6,55 G
C09AA01 Captopril 035510027 CAPTOPRIL 24 cpr 50 mg ABC RR 6,61 6,57 G
C09AA01 Captopril 035451020 CAPTOPRIL 24 cpr 50 mg ALTER RR 6,61 6,57 G
C09AA01 Captopril 035322027 CAPTOPRIL 24 cpr 50 mg FARMACEUTICI T.S. RR 6,61 6,57 G
C09AA01 Captopril 035459027 CAPTOPRIL 24 cpr 50 mg MAGIS RR 6,61 6,57 G
C09AA01 Captopril 035510015 CAPTOPRIL 50 cpr 25 mg ABC RR 7,32 7,28 G
C09AA01 Captopril 035451018 CAPTOPRIL 50 cpr 25 mg ALTER RR 7,32 7,28 G
C09AA01 Captopril 034366031 CAPTOPRIL 50 cpr 25 mg DOC GENERICI RR 7,32 7,28 G
C09AA01 Captopril 034862019 CAPTOPRIL 50 cpr 25 mg DOROM RR 7,32 7,28 G
